Category,Total_SKUs,Dead_Stock_Flag,Dead_Stock_Rate,Avg_Age_Days,Holding_Cost,Dead_Stock_Rate_Pct
Bottom,201,125,0.2840909090909091,68.01818181818182,1661.03,28.40909090909091
Saree,78,35,0.21341463414634146,55.05487804878049,1505.7,21.341463414634145
Blouse,153,110,0.11879049676025918,42.01727861771058,4846.95,11.879049676025918
Top,791,904,0.0851063829787234,31.818113349651668,55348.94,8.51063829787234
Ethnic Dress,94,97,0.08369283865401209,35.297670405522,9079.58,8.369283865401208
kurta,2927,3669,0.0735609599615053,28.106441846943483,230049.87,7.35609599615053
Set,2490,3093,0.06151061968021637,26.054271736536474,458694.29,6.151061968021637
Western Dress,458,420,0.027096774193548386,16.16225806451613,126178.0,2.7096774193548385
Dupatta,3,0,0.0,9.0,9.27,0.0
