Feature,Importance
return_probability,0.4975189225567749
campaign_cost,0.1932922394961296
cogs,0.15380095117617362
Amount,0.088493731865486
campaign_roi,0.03295280101434368
shipping_cost,0.014740165399660377
discount_cost,0.006418543029173907
acquisition_channel_Organic_Search,0.0028433659241342084
estimated_clv,0.0023352471532358207
Category_kurta,0.0018136715865200098
loyalty_score,0.001024281966491826
Qty,0.0009256492974915205
estimated_shipping_distance,0.0008268188837028285
product_profitability_score,0.0005471134294011932
inventory_age_days,0.0005414282817463238
inventory_turnover,0.00032395733364072306
estimated_cac,0.00021674587608588554
Category_Set,0.00015061247578689288
delay_probability,0.00012063786369482064
Category_Western Dress,0.00011240122356897641
acquisition_channel_Promotional_Campaign,7.808136329916254e-05
Category_Top,7.103250437594877e-05
Size_M,6.949344467752575e-05
Size_L,6.836913203197396e-05
Category_Ethnic Dress,6.322337821803826e-05
customer_segment_Champion,6.270332097181332e-05
Size_XS,5.358333428624061e-05
Size_S,5.095955345095965e-05
stockout_probability,4.9656241102012263e-05
Fulfilment_Merchant,4.913474795508597e-05
Size_XL,4.7571253576014565e-05
courier_partner_Blue Dart,3.704591756349128e-05
Size_XXL,3.5028148965132124e-05
acquisition_channel_Social_or_Direct,3.405198439702366e-05
abc_class_C,2.589001045455833e-05
customer_segment_Potential_Loyal,2.5338355338222307e-05
warehouse_zone_tier2,2.3825989232262375e-05
abc_class_B,2.3140878678613656e-05
customer_segment_Loyal,2.2428275308034734e-05
ship-service-level_Standard,2.129946104133776e-05
velocity_class_Medium,1.8160903848564107e-05
acquisition_channel_Enterprise_Sales,1.0939746948683781e-05
velocity_class_Slow,8.110607663451194e-06
B2B_True,7.914751096238112e-06
Size_5XL,7.560510064120369e-06
Size_4XL,7.0195847551337266e-06
campaign_type_Seasonal,6.975225581713967e-06
campaign_type_PLCC_Financing,4.6907187747765475e-06
Size_Free,4.569776199989385e-06
warehouse_zone_tier3,4.4040529899385374e-06
courier_partner_Delhivery,2.6917629465404344e-06
courier_partner_Ekart,1.6976557993411285e-06
courier_partner_DTDC,1.4137680859940263e-06
Category_Bottom,1.0458532427862988e-06
Size_6XL,6.344537247026439e-07
Category_Saree,5.325258694582535e-07
courier_partner_Xpressbees,3.487780899581253e-07
Category_Dupatta,1.1236907453541234e-07
Sales Channel_Non-Amazon,3.382707743739076e-08
